Price,Airline,Departure Date,Departure Time
608.27,SN,2025-07-04,2025-07-04T15:45:00
608.27,SN,2025-07-05,2025-07-05T13:40:00
620.41,LH,2025-07-04,2025-07-04T17:30:00
620.41,LH,2025-07-05,2025-07-05T20:20:00
664.75,FI,2025-07-04,2025-07-04T23:10:00
664.75,FI,2025-07-06,2025-07-06T07:30:00
677.67,6X,2025-07-04,2025-07-04T17:40:00
693.58,6X,2025-07-04,2025-07-04T17:00:00
693.58,6X,2025-07-05,2025-07-05T15:25:00
694.84,6X,2025-07-04,2025-07-04T05:00:00
694.84,6X,2025-07-04,2025-07-04T16:05:00
694.84,6X,2025-07-04,2025-07-04T05:00:00
694.84,6X,2025-07-04,2025-07-04T16:10:00
694.92,6X,2025-07-04,2025-07-04T10:00:00
694.92,6X,2025-07-05,2025-07-05T15:25:00
805.22,AF,2025-07-04,2025-07-04T21:30:00
805.22,AF,2025-07-05,2025-07-05T12:40:00
805.22,AF,2025-07-04,2025-07-04T01:00:00
805.22,AF,2025-07-04,2025-07-04T19:20:00
805.22,AF,2025-07-04,2025-07-04T23:30:00
805.22,AF,2025-07-05,2025-07-05T19:20:00
809.36,TK,2025-07-04,2025-07-04T19:50:00
809.36,TK,2025-07-05,2025-07-05T15:00:00
809.36,TK,2025-07-04,2025-07-04T12:50:00
809.36,TK,2025-07-05,2025-07-05T15:00:00
827.48,VS,2025-07-04,2025-07-04T18:20:00
827.48,KL,2025-07-05,2025-07-05T09:45:00
827.48,VS,2025-07-04,2025-07-04T19:20:00
827.48,KL,2025-07-05,2025-07-05T14:20:00
827.48,KL,2025-07-04,2025-07-04T17:30:00
827.48,KL,2025-07-05,2025-07-05T09:45:00
827.48,KL,2025-07-04,2025-07-04T21:10:00
827.48,KL,2025-07-05,2025-07-05T14:20:00
827.48,KL,2025-07-04,2025-07-04T21:10:00
827.48,KL,2025-07-05,2025-07-05T21:00:00
827.48,AF,2025-07-04,2025-07-04T17:30:00
827.48,AF,2025-07-05,2025-07-05T09:45:00
827.48,AF,2025-07-04,2025-07-04T21:10:00
827.48,AF,2025-07-05,2025-07-05T14:20:00
827.48,AF,2025-07-04,2025-07-04T17:30:00
827.48,AF,2025-07-05,2025-07-05T14:20:00
827.48,AF,2025-07-04,2025-07-04T21:10:00
827.48,AF,2025-07-05,2025-07-05T21:00:00
827.48,AF,2025-07-04,2025-07-04T19:20:00
827.48,AF,2025-07-05,2025-07-05T21:00:00
828.80,AY,2025-07-04,2025-07-04T22:55:00
832.13,AY,2025-07-04,2025-07-04T23:10:00
832.13,AY,2025-07-05,2025-07-05T13:00:00
832.13,AY,2025-07-04,2025-07-04T19:30:00
832.13,AY,2025-07-05,2025-07-05T09:30:00
832.13,AY,2025-07-04,2025-07-04T20:05:00
832.13,AY,2025-07-05,2025-07-05T10:20:00
832.13,AY,2025-07-04,2025-07-04T19:30:00
832.13,AY,2025-07-05,2025-07-05T10:20:00
832.13,AY,2025-07-04,2025-07-04T23:10:00
832.13,AY,2025-07-05,2025-07-05T16:10:00
842.38,AY,2025-07-04,2025-07-04T20:05:00
842.38,AY,2025-07-05,2025-07-05T13:00:00
842.38,AY,2025-07-04,2025-07-04T20:05:00
842.38,AY,2025-07-05,2025-07-05T16:10:00
913.08,IB,2025-07-04,2025-07-04T19:10:00
913.08,AY,2025-07-05,2025-07-05T11:05:00
954.84,6X,2025-07-04,2025-07-04T15:00:00
954.84,6X,2025-07-05,2025-07-05T02:20:00
954.84,6X,2025-07-04,2025-07-04T20:00:00
954.84,6X,2025-07-05,2025-07-05T10:00:00
1024.36,TK,2025-07-04,2025-07-04T12:50:00
1024.36,TK,2025-07-05,2025-07-05T08:00:00
1024.36,TK,2025-07-04,2025-07-04T06:45:00
1024.36,TK,2025-07-05,2025-07-05T08:00:00
1095.09,IB,2025-07-04,2025-07-04T23:25:00
1095.09,IB,2025-07-06,2025-07-06T10:05:00
1877.47,AY,2025-07-04,2025-07-04T16:45:00
1877.47,AY,2025-07-05,2025-07-05T10:15:00
2766.19,IB,2025-07-04,2025-07-04T19:05:00
2766.19,IB,2025-07-05,2025-07-05T10:15:00
2766.19,IB,2025-07-04,2025-07-04T16:45:00
2766.19,IB,2025-07-05,2025-07-05T10:15:00
527.83,UA,2025-07-05,2025-07-05T21:50:00
527.83,UA,2025-07-06,2025-07-06T13:25:00
527.83,UA,2025-07-05,2025-07-05T15:45:00
527.83,UA,2025-07-06,2025-07-06T09:25:00
527.83,UA,2025-07-05,2025-07-05T21:50:00
527.83,UA,2025-07-06,2025-07-06T21:00:00
572.18,AC,2025-07-05,2025-07-05T15:55:00
